,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
117,1,570,30,ELA,Did Not Yet Meet,3,2,5
118,1,570,30,ELA,Partially Met,6,5,5
119,1,570,30,ELA,Approached,10,12,9
120,1,570,30,ELA,Met,16,13,12
121,1,570,30,ELA,Exceeded,1,2,1
122,1,570,30,Math,Did Not Yet Meet,6,3,3
123,1,570,30,Math,Partially Met,6,6,14
124,1,570,30,Math,Approached,15,11,14
125,1,570,30,Math,Met,9,3,9
126,1,590,30,ELA,Did Not Yet Meet,3,7,10
127,1,590,30,ELA,Partially Met,6,5,13
128,1,590,30,ELA,Approached,6,10,10
129,1,590,30,ELA,Met,5,8,15
130,1,590,30,ELA,Exceeded,1,1,2
131,1,590,30,Math,Did Not Yet Meet,0,2,2
132,1,590,30,Math,Partially Met,6,7,10
133,1,590,30,Math,Approached,6,9,17
134,1,590,30,Math,Met,6,12,17
135,1,590,30,Math,Exceeded,1,2,0
136,1,590,300,ELA,Did Not Yet Meet,9,7,4
137,1,590,300,ELA,Partially Met,11,9,2
138,1,590,300,ELA,Approached,19,12,6
139,1,590,300,ELA,Met,11,6,4
140,1,590,300,ELA,Exceeded,1,0,0
141,1,590,300,Math,Did Not Yet Meet,3,2,5
142,1,590,300,Math,Partially Met,17,9,2
143,1,590,300,Math,Approached,32,8,1
144,1,590,300,Math,Met,15,5,0
145,1,1300,30,ELA,Did Not Yet Meet,7,5,7
146,1,1300,30,ELA,Partially Met,12,13,10
147,1,1300,30,ELA,Approached,8,12,11
148,1,1300,30,ELA,Met,8,6,1
149,1,1300,30,ELA,Exceeded,1,0,0
150,1,1300,30,Math,Did Not Yet Meet,6,10,1
151,1,1300,30,Math,Partially Met,20,13,7
152,1,1300,30,Math,Approached,18,8,7
153,1,1300,30,Math,Met,3,5,2
154,1,1300,30,Math,Exceeded,1,0,0
155,1,1310,38,ELA,Did Not Yet Meet,4,3,3
156,1,1310,38,ELA,Partially Met,6,5,4
157,1,1310,38,ELA,Approached,12,10,6
158,1,1310,38,ELA,Met,16,11,12
159,1,1310,38,ELA,Exceeded,2,4,4
160,1,1310,38,Math,Did Not Yet Meet,2,4,1
161,1,1310,38,Math,Partially Met,7,6,10
162,1,1310,38,Math,Approached,12,8,21
163,1,1310,38,Math,Met,6,4,18
164,1,1310,38,Math,Exceeded,0,0,0
165,1,1310,39,ELA,Did Not Yet Meet,3,2,3
166,1,1310,39,ELA,Partially Met,4,3,5
167,1,1310,39,ELA,Approached,7,7,11
168,1,1310,39,ELA,Met,11,11,21
169,1,1310,39,ELA,Exceeded,2,2,7
170,1,1310,39,Math,Did Not Yet Meet,2,2,3
171,1,1310,39,Math,Partially Met,7,5,12
172,1,1310,39,Math,Approached,6,8,19
173,1,1310,39,Math,Met,8,12,15
174,1,1310,39,Math,Exceeded,0,0,0
175,1,1310,45,ELA,Did Not Yet Meet,2,2,2
176,1,1310,45,ELA,Partially Met,6,8,6
177,1,1310,45,ELA,Approached,12,10,9
178,1,1310,45,ELA,Met,14,14,10
179,1,1310,45,ELA,Exceeded,2,2,0
180,1,1310,45,Math,Did Not Yet Meet,3,1,2
181,1,1310,45,Math,Partially Met,10,12,10
182,1,1310,45,Math,Approached,13,12,11
183,1,1310,45,Math,Met,8,7,7
184,1,1310,45,Math,Exceeded,0,0,1
185,1,1410,50,ELA,Did Not Yet Meet,0,2,3
186,1,1410,50,ELA,Partially Met,8,5,2
187,1,1410,50,ELA,Approached,6,12,12
188,1,1410,50,ELA,Met,14,15,14
189,1,1410,50,ELA,Exceeded,2,3,5
190,1,1410,50,Math,Did Not Yet Meet,4,2,2
