COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
01,0570,030,ELA,Exceeded,1,2,1
01,0570,030,Math,Did Not Yet Meet,6,3,3
01,0570,030,Math,Partially Met,6,6,14
01,0570,030,Math,Approached,15,11,14
01,0570,030,Math,Met,9,3,9
01,0590,030,ELA,Did Not Yet Meet,3,7,10
01,0590,030,ELA,Partially Met,6,5,13
01,0590,030,ELA,Approached,6,10,10
01,0590,030,ELA,Met,5,8,15
01,0590,030,ELA,Exceeded,1,1,2
01,0590,030,Math,Did Not Yet Meet,0,2,2
01,0590,030,Math,Partially Met,6,7,10
01,0590,030,Math,Approached,6,9,17
01,0590,030,Math,Met,6,12,17
01,0590,030,Math,Exceeded,1,2,0
01,0590,300,ELA,Did Not Yet Meet,9,7,4
01,0590,300,ELA,Partially Met,11,9,2
01,0590,300,ELA,Approached,19,12,6
01,0590,300,ELA,Met,11,6,4
01,0590,300,ELA,Exceeded,1,0,0
01,0590,300,Math,Did Not Yet Meet,3,2,5
01,0590,300,Math,Partially Met,17,9,2
01,0590,300,Math,Approached,32,8,1
01,0590,300,Math,Met,15,5,0
01,1300,030,ELA,Did Not Yet Meet,7,5,7
01,1300,030,ELA,Partially Met,12,13,10
01,1300,030,ELA,Approached,8,12,11
01,1300,030,ELA,Met,8,6,1
01,1300,030,ELA,Exceeded,1,0,0
01,1300,030,Math,Did Not Yet Meet,6,10,1
01,1300,030,Math,Partially Met,20,13,7
01,1300,030,Math,Approached,18,8,7
01,1300,030,Math,Met,3,5,2
01,1300,030,Math,Exceeded,1,0,0
01,1310,038,ELA,Did Not Yet Meet,4,3,3
01,1310,038,ELA,Partially Met,6,5,4
01,1310,038,ELA,Approached,12,10,6
01,1310,038,ELA,Met,16,11,12
01,1310,038,ELA,Exceeded,2,4,4
01,1310,038,Math,Did Not Yet Meet,2,4,1
01,1310,038,Math,Partially Met,7,6,10
01,1310,038,Math,Approached,12,8,21
01,1310,038,Math,Met,6,4,18
01,1310,038,Math,Exceeded,0,0,0
01,1310,039,ELA,Did Not Yet Meet,3,2,3
01,1310,039,ELA,Partially Met,4,3,5
01,1310,039,ELA,Approached,7,7,11
01,1310,039,ELA,Met,11,11,21
01,1310,039,ELA,Exceeded,2,2,7
01,1310,039,Math,Did Not Yet Meet,2,2,3
01,1310,039,Math,Partially Met,7,5,12
01,1310,039,Math,Approached,6,8,19
01,1310,039,Math,Met,8,12,15
01,1310,039,Math,Exceeded,0,0,0
01,1310,045,ELA,Did Not Yet Meet,2,2,2
01,1310,045,ELA,Partially Met,6,8,6
01,1310,045,ELA,Approached,12,10,9
01,1310,045,ELA,Met,14,14,10
01,1310,045,ELA,Exceeded,2,2,0
01,1310,045,Math,Did Not Yet Meet,3,1,2
01,1310,045,Math,Partially Met,10,12,10
01,1310,045,Math,Approached,13,12,11
01,1310,045,Math,Met,8,7,7
01,1310,045,Math,Exceeded,0,0,1
01,1410,050,ELA,Did Not Yet Meet,0,2,3
01,1410,050,ELA,Partially Met,8,5,2
01,1410,050,ELA,Approached,6,12,12
01,1410,050,ELA,Met,14,15,14
01,1410,050,ELA,Exceeded,2,3,5
01,1410,050,Math,Did Not Yet Meet,4,2,2
01,1410,050,Math,Partially Met,6,0,4
01,1410,050,Math,Approached,6,9,11
01,1410,050,Math,Met,17,9,23
01,1410,050,Math,Exceeded,2,2,4
01,1540,050,ELA,Did Not Yet Meet,3,3,3
01,1540,050,ELA,Partially Met,5,7,7
01,1540,050,ELA,Approached,13,11,11
01,1540,050,ELA,Met,12,11,12
01,1540,050,ELA,Exceeded,1,0,0
01,1540,050,Math,Did Not Yet Meet,1,1,2
01,1540,050,Math,Partially Met,7,8,14
01,1540,050,Math,Approached,13,15,16
01,1540,050,Math,Met,10,10,4
01,1540,050,Math,Exceeded,0,1,0
01,1690,015,ELA,Did Not Yet Meet,0,2,3
01,1690,015,ELA,Partially Met,5,4,6
01,1690,015,ELA,Approached,9,7,9
01,1690,015,ELA,Met,20,12,19
01,1690,015,ELA,Exceeded,2,0,1
01,1690,015,Math,Did Not Yet Meet,2,1,2
01,1690,015,Math,Partially Met,4,5,9
01,1690,015,Math,Approached,10,9,13
01,1690,015,Math,Met,12,17,13
01,1690,015,Math,Exceeded,2,1,2
01,1690,016,ELA,Did Not Yet Meet,4,2,1
01,1690,016,ELA,Partially Met,6,5,5
01,1690,016,ELA,Approached,10,9,8
01,1690,016,ELA,Met,14,11,12
01,1690,016,ELA,Exceeded,5,3,5
01,1690,045,ELA,Did Not Yet Meet,1,2,1
01,1690,045,ELA,Partially Met,6,4,4
01,1690,045,ELA,Approached,9,9,10
01,1690,045,ELA,Met,19,13,17
01,1690,045,ELA,Exceeded,0,3,2
01,1690,045,Math,Did Not Yet Meet,2,1,0
01,1690,045,Math,Partially Met,5,4,8
01,1690,045,Math,Approached,5,12,17
01,1690,045,Math,Met,8,14,20
01,1690,045,Math,Exceeded,1,1,2
01,1690,046,ELA,Did Not Yet Meet,2,2,4
01,1690,046,ELA,Partially Met,1,5,6
01,1690,046,ELA,Approached,8,9,10
01,1690,046,ELA,Met,17,13,18
01,1690,046,ELA,Exceeded,2,1,1
01,1690,046,Math,Did Not Yet Meet,1,2,1
01,1690,046,Math,Partially Met,2,3,8
01,1690,046,Math,Approached,5,9,19
01,1690,046,Math,Met,12,12,21
01,1690,046,Math,Exceeded,1,1,2
01,1690,048,ELA,Did Not Yet Meet,2,2,2
01,1690,048,ELA,Partially Met,4,7,2
01,1690,048,ELA,Approached,13,15,9
01,1690,048,ELA,Met,15,12,12
01,1690,048,ELA,Exceeded,3,2,1
01,1690,048,Math,Did Not Yet Meet,0,1,1
01,1690,048,Math,Partially Met,8,4,6
01,1690,048,Math,Approached,16,11,11
01,1690,048,Math,Met,13,12,14
01,1690,048,Math,Exceeded,1,1,1
01,1940,055,ELA,Did Not Yet Meet,4,5,5
01,1940,055,ELA,Partially Met,7,7,6
01,1940,055,ELA,Approached,10,8,9
01,1940,055,ELA,Met,12,12,10
01,1940,055,ELA,Exceeded,2,2,1
01,1940,055,Math,Did Not Yet Meet,2,2,3
01,1940,055,Math,Partially Met,8,8,11
01,1940,055,Math,Approached,8,11,12
01,1940,055,Math,Met,9,9,12
01,1940,055,Math,Exceeded,1,1,2
01,1940,120,ELA,Did Not Yet Meet,3,3,5
01,1940,120,ELA,Partially Met,6,5,8
01,1940,120,ELA,Approached,9,8,7
01,1940,120,ELA,Met,12,15,11
01,1940,120,ELA,Exceeded,2,3,4
01,1940,120,Math,Did Not Yet Meet,2,0,3
01,1940,120,Math,Partially Met,15,11,3
01,1940,120,Math,Approached,15,11,3
01,1940,120,Math,Met,21,10,4
01,1940,120,Math,Exceeded,1,1,0
01,1960,055,ELA,Did Not Yet Meet,5,7,6
01,1960,055,ELA,Partially Met,7,4,6
01,1960,055,ELA,Approached,12,10,5
01,1960,055,ELA,Met,14,14,5
01,1960,055,ELA,Exceeded,2,2,1
01,1960,055,Math,Did Not Yet Meet,2,2,5
01,1960,055,Math,Partially Met,6,10,8
01,1960,055,Math,Approached,14,12,6
01,1960,055,Math,Met,13,9,9
01,1960,055,Math,Exceeded,3,1,0
01,1960,060,ELA,Did Not Yet Meet,2,3,3
01,1960,060,ELA,Partially Met,3,3,8
01,1960,060,ELA,Approached,6,9,13
01,1960,060,ELA,Met,13,11,15
01,1960,060,ELA,Exceeded,4,3,4
01,1960,060,Math,Did Not Yet Meet,2,2,1
01,1960,060,Math,Partially Met,7,7,7
01,1960,060,Math,Approached,9,11,14
01,1960,060,Math,Met,14,12,9
01,1960,060,Math,Exceeded,1,3,1
01,2680,020,ELA,Did Not Yet Meet,0,0,0
01,2680,020,ELA,Partially Met,1,3,1
01,2680,020,ELA,Approached,3,5,6
01,2680,020,ELA,Met,11,23,25
01,2680,020,ELA,Exceeded,5,8,9
01,2680,020,Math,Did Not Yet Meet,0,1,0
01,2680,020,Math,Partially Met,4,3,3
01,2680,020,Math,Approached,8,10,6
01,2680,020,Math,Met,22,18,19
01,2680,020,Math,Exceeded,4,2,1
